customer_id,full_name,email,phone,gender,region,channel,tier,signup_date
CUST-1001,Erika Allen,carterstephanie@example.net,+63 932 880 4072,Female,Batangas,Online,Bronze,2022-04-28
CUST-1002,Cheryl Cuevas,uwhite@example.org,+63 918 487 3331,Male,,Both,Silver,2023-05-28
CUST-1003,Curtis Castro,ilarson@example.org,+63 913 511 9718,Female,Davao,Online,Silver,2023-02-02
CUST-1004,Denise Sims,bellalyssa@example.com,+63 999 833 9762,Female,Cagayan de Oro,Online,Bronze,2022-03-15
CUST-1005,Janice Valentine,williamscynthia@example.net,+63 956 148 9707,Female,Cebu,Online,Gold,2023-12-26
CUST-1006,Mary Hernandez,smithtodd@example.com,+63 969 007 2003,Male,Cagayan de Oro,Online,Platinum,2023-07-05
CUST-1007,Tim Wilson,gvillegas@example.org,+63 934 312 2200,Male,Batangas,Both,Bronze,2023-02-18
CUST-1008,Cynthia Mason,krasmussen@example.net,+63 996 784 9179,Male,,In-Store,Gold,2023-01-29
CUST-1009,Joshua Roberts,andrewtucker@example.org,+63 902 011 8316,Male,Batangas,In-Store,Bronze,2023-06-01
CUST-1010,Trevor Cruz,iwiley@example.net,+63 963 644 1855,Female,,Online,Bronze,2022-04-05
CUST-1011,Patty Cordova,xmercer@example.net,,Female,NCR,Online,Gold,2022-05-30
CUST-1012,Denise Garcia,michaelharrington@example.org,+63 939 989 9080,Male,Pampanga,Online,Silver,2023-04-23
CUST-1013,Tonya Wilson,josephmartin@example.com,+63 908 996 1415,Male,Pampanga,In-Store,Bronze,2022-03-30
CUST-1014,Manuel Sweeney,colemegan@example.com,+63 968 160 1062,Male,Iloilo,Both,Gold,2023-09-08
CUST-1015,Richard Aguirre,cynthia28@example.net,+63 911 086 8127,Male,Cagayan de Oro,Both,Silver,2023-07-08
CUST-1016,Keith Mclaughlin,taylor37@example.net,+63 969 683 6139,Female,,Online,Bronze,2022-05-25
CUST-1017,Maria Schneider,matthew63@example.net,+63 985 345 3252,Male,Cebu,In-Store,Bronze,2023-11-12
CUST-1018,Kelsey Griffin,travis17@example.net,+63 914 420 4966,Female,Pampanga,Both,Silver,2022-09-15
CUST-1019,Lisa Vazquez,mcdaniellinda@example.net,+63 957 762 6686,Female,Batangas,Online,Gold,2023-01-13
CUST-1020,Debbie Coffey,stacey78@example.com,+63 990 916 5549,Female,Iloilo,In-Store,Bronze,2023-07-30
CUST-1021,Ashley Kelly MD,gabrielvasquez@example.com,+63 955 142 2560,Female,Cebu,Online,Bronze,2023-12-14
CUST-1022,Brian Schultz,jameslittle@example.org,+63 971 960 1005,Male,NCR,Both,Platinum,2022-05-03
CUST-1023,Mr. Joshua Pitts,april90@example.net,+63 992 283 4540,Male,Batangas,Online,Silver,2023-10-01
CUST-1024,Kimberly Boyd,danielle73@example.org,+63 987 766 9715,Female,Cebu,In-Store,UNKNOWN,2023-09-28
CUST-1025,Mark Hall,julie57@example.com,,Male,Cagayan de Oro,In-Store,Gold,2023-06-30
CUST-1026,Brandon Harris,fperez@example.net,+63 934 531 5799,Male,Iloilo,Online,Bronze,2023-10-15
CUST-1027,Travis Webb MD,anthonyjohnson@example.org,+63 905 748 7814,Male,Cebu,Online,Bronze,2023-02-02
CUST-1028,Steven Gardner,xjohnson@example.com,+63 921 284 4158,Male,Batangas,In-Store,Silver,2022-07-14
CUST-1029,Christopher Adams,robertramsey@example.org,+63 908 720 0663,Male,Iloilo,Both,Bronze,2023-09-21
CUST-1030,Beverly Knapp,flowerssamantha@example.org,+63 997 384 6120,Female,Batangas,Both,Silver,2023-05-31
CUST-1031,Kevin Taylor,rrodriguez@example.net,+63 923 827 1598,Female,Pampanga,Online,Bronze,2022-05-30
CUST-1032,Miguel Ross,mpetty@example.org,+63 909 366 1182,Female,Cagayan de Oro,Online,Silver,2022-04-07
CUST-1033,Laurie Villa,gabrielturner@example.net,+63 921 811 0646,Male,NCR,In-Store,Silver,2023-03-19
CUST-1034,Thomas Hall,acolon@example.com,+63 966 450 1340,Male,Cagayan de Oro,Both,Bronze,2023-05-17
CUST-1035,Raven Riddle,clinton63@example.com,+63 951 046 5440,Female,Laguna,Online,Platinum,2022-11-09
CUST-1036,Matthew Howard,savannahgarrett@example.org,+63 978 715 6096,Male,Cebu,In-Store,Bronze,2023-01-18
CUST-1037,Cynthia Davidson,beverlysmith@example.com,+63 906 659 4100,Female,Batangas,Online,Bronze,2023-12-17
CUST-1038,Shelby Reyes,rebecca36@example.com,+63 978 568 9069,Female,Batangas,In-Store,Platinum,2023-11-11
CUST-1039,Connor Greene,landrychristopher@example.com,+63 943 554 3782,Female,NCR,In-Store,Silver,2023-06-06
CUST-1040,Carlos Pierce,catherine02@example.com,+63 926 662 0981,Male,Cagayan de Oro,Online,Silver,2023-03-11
CUST-1041,Renee Shaw,wtaylor@example.net,+63 939 822 6128,Female,Cagayan de Oro,In-Store,Bronze,2023-07-05
CUST-1042,Gregory Little,paulmay@example.net,+63 997 787 7109,Male,NCR,Both,Silver,2023-08-14
CUST-1043,John Smith,stevensonmadison@example.com,+63 915 416 0893,Male,Laguna,In-Store,Platinum,2022-02-23
CUST-1044,Brian Gomez,scottrobert@example.com,+63 954 177 1204,Female,Cagayan de Oro,Both,Silver,2022-09-09
CUST-1045,Alexander Marshall,danielsjohn@example.org,+63 947 865 1808,Female,Cagayan de Oro,Online,Bronze,2022-05-06
CUST-1046,Cody Anderson,nrose@example.net,+63 912 532 5940,Female,Laguna,In-Store,Platinum,2023-01-10
CUST-1047,James Richardson,curtishuynh@example.net,+63 998 305 6351,Male,NCR,Both,UNKNOWN,2023-09-07
CUST-1048,Thomas Brown,williamsamy@example.com,+63 900 726 4214,Male,Iloilo,Online,Silver,2022-09-11
CUST-1049,Andrea Scott,ericarosales@example.com,+63 981 371 7275,Male,Batangas,In-Store,Silver,2023-05-24
CUST-1050,Heidi Larson,hsnyder@example.com,+63 988 826 6942,Male,Davao,Online,Gold,2022-02-21
,,,,,,,,
CUST-1052,Jeffrey Fields,woodsalexis@example.net,+63 920 537 6652,Male,Cagayan de Oro,Online,Bronze,2023-01-12
CUST-1053,Stephanie Leon,zdavidson@example.org,+63 995 097 8448,Male,Laguna,In-Store,Platinum,2022-04-28
CUST-1054,Jonathan Simmons,brownlinda@example.com,+63 931 860 3204,Female,NCR,Online,Bronze,2023-03-29
CUST-1055,Blake Stephens,rsmith@example.net,+63 945 155 6829,Male,,Both,Bronze,2023-11-19
CUST-1056,Erica Chandler,grahamgloria@example.com,+63 914 614 8488,Female,Iloilo,Online,Gold,2022-05-13
CUST-1057,Theresa Nguyen,fitzpatrickalexis@example.org,+63 930 768 8477,Female,Laguna,Online,Silver,2023-04-22
CUST-1058,Douglas Chavez,keithcampbell@example.net,+63 912 296 1567,Male,Davao,Both,UNKNOWN,2022-04-30
CUST-1059,Jason Bush,carolyn19@example.com,+63 990 400 2973,Male,Cagayan de Oro,In-Store,Silver,2022-09-03
CUST-1060,Chad Park,brewerjennifer@example.com,+63 956 543 9023,Male,Batangas,Both,Gold,2022-08-20
CUST-1061,Jennifer Brennan,heathersmith@example.org,+63 932 804 2638,Female,NCR,Online,Bronze,2023-09-29
CUST-1062,Thomas Wong,gibbssteven@example.net,+63 911 470 4356,Male,Batangas,Both,Platinum,2023-08-09
CUST-1063,Diamond Pena,gwilliams@example.org,+63 989 070 7001,Female,Cagayan de Oro,Both,Bronze,2022-03-10
CUST-1064,Kaitlyn Schultz,moorejared@example.org,+63 920 434 6779,Female,Iloilo,In-Store,Bronze,2023-06-22
CUST-1065,Samantha Davis,kathleenmorgan@example.com,,Female,Cagayan de Oro,In-Store,Silver,2023-01-04
CUST-1066,Joseph Baker,dwatson@example.net,+63 991 012 1836,Male,Pampanga,In-Store,Bronze,2023-09-25
CUST-1067,Stephanie Nelson,mason87@example.com,+63 964 960 4701,Male,Cagayan de Oro,In-Store,Bronze,2023-03-18
CUST-1068,Jessica Diaz,watsonsara@example.net,+63 945 627 9159,Female,Laguna,In-Store,Bronze,2023-12-09
CUST-1069,Kyle Graham,myersjohnny@example.org,+63 988 660 0414,Male,Cagayan de Oro,Both,Silver,2023-12-09
CUST-1070,Peter Baker,nathaniel01@example.net,+63 981 152 0554,Male,Iloilo,In-Store,Bronze,2023-10-19
CUST-1071,Justin Anderson,michael99@example.com,+63 987 102 9819,Male,Iloilo,In-Store,Bronze,2023-11-08
