customer_id,full_name,email,tier,region,channel,total_orders,total_spent,last_order_date,days_since_order,first_order_date,churn_status
CUST-1190,Christopher Mitchell,jamesknox@example.net,Bronze,NCR,Online,18,83242.84,2024-08-03,576,2023-01-28,High Value Churned
CUST-1162,Shelly Mills,johnsnyder@example.com,Gold,Cebu,In-Store,12,75453.66,2024-09-19,529,2023-01-29,High Value Churned
CUST-1069,Kyle Graham,myersjohnny@example.org,Silver,Cagayan de Oro,Both,9,64889.37,2024-09-23,525,2023-01-04,High Value Churned
CUST-1119,Benjamin Price,vaughnjames@example.org,Silver,Unknown,Online,11,56324.73,2024-09-11,537,2023-03-09,High Value Churned
CUST-1038,Shelby Reyes,rebecca36@example.com,Platinum,Batangas,In-Store,14,55666.25,2024-08-20,559,2023-02-02,High Value Churned
CUST-1028,Steven Gardner,xjohnson@example.com,Silver,Batangas,In-Store,10,54635.41,2024-09-13,535,2023-04-08,High Value Churned
CUST-1134,Susan Johns,oparker@example.net,Silver,Batangas,In-Store,9,52388.85,2024-05-19,652,2023-03-18,High Value Churned
CUST-1027,Travis Webb MD,anthonyjohnson@example.org,Bronze,Cebu,Online,11,45016.71,2024-08-29,550,2023-03-02,High Value Churned
CUST-1036,Matthew Howard,savannahgarrett@example.org,Bronze,Cebu,In-Store,13,44422.04,2024-08-22,557,2023-03-08,High Value Churned
CUST-1124,Justin Combs,amysmith@example.com,Platinum,Cebu,Online,13,43311.35,2024-07-22,588,2023-04-17,High Value Churned
CUST-1311,Emily Clark,richardsscott@example.org,Bronze,Iloilo,In-Store,8,43106.57,2023-11-24,829,2023-03-01,High Value Churned
CUST-1192,Joseph Henderson,marshalljonathan@example.org,Silver,Iloilo,Both,12,42626.1,2024-07-29,581,2023-01-22,High Value Churned
CUST-1071,Justin Anderson,michael99@example.com,Bronze,Iloilo,In-Store,11,42118.25,2024-05-11,660,2023-04-13,High Value Churned
CUST-1008,Cynthia Mason,krasmussen@example.net,Gold,Unknown,In-Store,12,38900.12,2024-09-30,518,2023-03-11,High Value Churned
CUST-1206,Daniel Ellis,brianna41@example.com,Bronze,Iloilo,Online,10,36934.52,2024-03-06,726,2023-03-02,High Value Churned
CUST-1015,Richard Aguirre,cynthia28@example.net,Silver,Cagayan de Oro,Both,4,36206.67,2024-07-16,594,2023-04-13,High Value Churned
CUST-1217,Jonathan Gonzalez,adam39@example.com,Silver,Laguna,Both,5,35955.03,2023-11-28,825,2023-01-10,High Value Churned
CUST-1318,Mary Wheeler,hwaters@example.com,Bronze,Iloilo,Both,8,35668.66,2024-09-28,520,2023-01-30,High Value Churned
CUST-1330,Rachel Miller,denise83@example.net,Bronze,Laguna,Online,5,35601.34,2023-06-28,978,2023-01-03,High Value Churned
CUST-1155,Derrick Gilmore,vnguyen@example.net,Silver,Batangas,Both,15,35529.28,2024-09-01,547,2023-02-08,High Value Churned
CUST-1128,Elizabeth Ramirez,amycohen@example.org,Gold,Batangas,Both,11,35261.16,2024-09-24,524,2023-01-22,High Value Churned
CUST-1272,Angela Morrison,smithnicole@example.com,Bronze,Cagayan de Oro,In-Store,6,35241.79,2024-09-23,525,2023-02-08,High Value Churned
CUST-1395,John Silva,maynatalie@example.org,Bronze,Pampanga,In-Store,3,34044.41,2024-04-20,681,2023-03-21,High Value Churned
CUST-1065,Samantha Davis,kathleenmorgan@example.com,Silver,Cagayan de Oro,In-Store,4,33825.45,2024-09-22,526,2023-11-23,High Value Churned
CUST-1020,Debbie Coffey,stacey78@example.com,Bronze,Iloilo,In-Store,3,33393.99,2024-03-18,714,2023-05-06,High Value Churned
CUST-1101,John Alexander,owenssusan@example.com,Silver,Laguna,In-Store,9,33097.05,2024-07-29,581,2023-03-23,High Value Churned
CUST-1173,Miranda Herrera,cervantesthomas@example.org,Silver,Cebu,Online,4,31701.87,2023-08-11,934,2023-04-03,High Value Churned
CUST-1262,Jason Green,hollowayhoward@example.net,Bronze,Cebu,In-Store,6,31436.9,2024-09-25,523,2023-01-03,High Value Churned
CUST-1391,Michael Smith,patrick19@example.org,Bronze,NCR,Both,11,30640.49,2024-08-27,552,2023-02-07,High Value Churned
CUST-1167,Jasmin Castro,juliaellis@example.com,Silver,Cagayan de Oro,In-Store,10,30456.77,2024-09-23,525,2023-01-05,High Value Churned
CUST-1082,Luis Keith,ashley42@example.net,Gold,Laguna,Online,4,30174.7,2024-07-05,605,2023-02-01,High Value Churned
CUST-1360,Brian Keller,vgray@example.net,Platinum,Batangas,Both,2,29842.46,2024-03-12,720,2023-12-22,At Risk
CUST-1189,Stephen Pitts,matthew78@example.com,Platinum,Pampanga,Online,6,29508.12,2024-05-29,642,2023-01-01,High Value Churned
CUST-1290,Connie Bush,christine56@example.net,Bronze,Cebu,In-Store,4,29438.91,2024-07-04,606,2023-07-06,High Value Churned
CUST-1084,Elizabeth Foster,xmoyer@example.com,Platinum,Cagayan de Oro,In-Store,7,28525.01,2024-08-18,561,2023-02-18,High Value Churned
CUST-1239,Victoria Clark,kevinrodriguez@example.net,Bronze,Unknown,Online,3,27966.63,2024-01-16,776,2023-01-22,High Value Churned
CUST-1163,Glenn Jordan,webbmorgan@example.net,Gold,Cebu,In-Store,9,27928.28,2024-09-29,519,2023-01-26,High Value Churned
CUST-1171,Brian Butler,ochambers@example.org,Bronze,Davao,Both,2,27707.81,2024-08-17,562,2023-09-15,At Risk
CUST-1385,Robert Trujillo,zflynn@example.net,Gold,Iloilo,Online,3,26953.53,2024-09-28,520,2023-02-16,High Value Churned
CUST-1107,Brian Murray,juan92@example.net,Platinum,Batangas,Online,9,26876.01,2024-09-05,543,2023-02-04,High Value Churned
CUST-1371,Kenneth Clark DDS,mitchellderrick@example.org,Bronze,Pampanga,In-Store,3,26627.54,2023-10-05,879,2023-01-30,High Value Churned
CUST-1209,Glenda Leonard,twilliams@example.com,Gold,NCR,In-Store,6,26513.74,2023-06-23,983,2023-01-02,High Value Churned
CUST-1205,Thomas Murphy,vwong@example.com,Silver,Davao,In-Store,10,26249.69,2023-06-08,998,2023-01-08,High Value Churned
CUST-1317,Jennifer Barnes,chernandez@example.com,Bronze,Batangas,Both,4,24873.23,2023-06-24,982,2023-01-17,High Value Churned
CUST-1269,Jacqueline Leach,herreramichelle@example.com,Silver,Batangas,Online,5,24657.31,2024-04-16,685,2023-03-13,High Value Churned
CUST-1199,Catherine Brown,margaret66@example.net,Silver,NCR,Online,4,24396.1,2024-09-09,539,2023-02-02,High Value Churned
CUST-1080,Brandon Howard,nancy70@example.net,Silver,Cagayan de Oro,In-Store,11,23972.57,2024-07-20,590,2023-03-31,High Value Churned
CUST-1263,Brian Howell,johnmorales@example.net,Platinum,Davao,Both,5,23495.46,2024-03-28,704,2023-01-23,High Value Churned
CUST-1231,Cynthia Stevenson,spencer79@example.net,Silver,NCR,Both,7,23133.25,2023-11-12,841,2023-01-13,High Value Churned
CUST-1178,Dr. Tanya Stewart,jeffreyrussell@example.org,Bronze,Pampanga,Online,9,23013.47,2024-09-21,527,2023-01-30,High Value Churned
CUST-1242,Eddie Solomon,mark11@example.com,Silver,Laguna,In-Store,10,22768.04,2024-02-14,747,2023-01-20,High Value Churned
CUST-1030,Beverly Knapp,flowerssamantha@example.org,Silver,Batangas,Both,10,22759.88,2024-08-08,571,2023-07-05,High Value Churned
CUST-1282,Wendy Mills,benjamin87@example.org,Gold,Iloilo,In-Store,7,22758.21,2024-04-24,677,2023-01-28,High Value Churned
CUST-1259,Scott Miller,ramosspencer@example.com,Bronze,Batangas,Both,3,22069.91,2024-08-19,560,2023-05-13,High Value Churned
