customer_id,full_name,tier,region,channel,email,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code,rfm_avg,rfm_segment
CUST-1190,Christopher Mitchell,Bronze,NCR,Online,jamesknox@example.net,576,18,83242.84,2,1,1,211,1.33,Needs Attention
CUST-1162,Shelly Mills,Gold,Cebu,In-Store,johnsnyder@example.com,529,12,75453.66,1,1,1,111,1.0,Lost
CUST-1069,Kyle Graham,Silver,Cagayan de Oro,Both,myersjohnny@example.org,525,9,64889.37,1,1,1,111,1.0,Lost
CUST-1119,Benjamin Price,Silver,Unknown,Online,vaughnjames@example.org,537,11,56324.73,1,1,1,111,1.0,Lost
CUST-1038,Shelby Reyes,Platinum,Batangas,In-Store,rebecca36@example.com,559,14,55666.25,1,1,1,111,1.0,Lost
CUST-1028,Steven Gardner,Silver,Batangas,In-Store,xjohnson@example.com,535,10,54635.41,1,1,1,111,1.0,Lost
CUST-1134,Susan Johns,Silver,Batangas,In-Store,oparker@example.net,652,9,52388.85,2,1,1,211,1.33,Needs Attention
CUST-1027,Travis Webb MD,Bronze,Cebu,Online,anthonyjohnson@example.org,550,11,45016.71,1,1,1,111,1.0,Lost
CUST-1036,Matthew Howard,Bronze,Cebu,In-Store,savannahgarrett@example.org,557,13,44422.04,1,1,1,111,1.0,Lost
CUST-1124,Justin Combs,Platinum,Cebu,Online,amysmith@example.com,588,13,43311.35,2,1,1,211,1.33,Needs Attention
CUST-1311,Emily Clark,Bronze,Iloilo,In-Store,richardsscott@example.org,829,8,43106.57,4,1,1,411,2.0,Potential Loyalists
CUST-1192,Joseph Henderson,Silver,Iloilo,Both,marshalljonathan@example.org,581,12,42626.1,2,1,1,211,1.33,Needs Attention
CUST-1071,Justin Anderson,Bronze,Iloilo,In-Store,michael99@example.com,660,11,42118.25,2,1,1,211,1.33,Needs Attention
CUST-1008,Cynthia Mason,Gold,Unknown,In-Store,krasmussen@example.net,518,12,38900.12,1,1,1,111,1.0,Lost
CUST-1206,Daniel Ellis,Bronze,Iloilo,Online,brianna41@example.com,726,10,36934.52,3,1,1,311,1.67,Potential Loyalists
CUST-1015,Richard Aguirre,Silver,Cagayan de Oro,Both,cynthia28@example.net,594,4,36206.67,2,2,1,221,1.67,Needs Attention
CUST-1217,Jonathan Gonzalez,Silver,Laguna,Both,adam39@example.com,825,5,35955.03,4,1,1,411,2.0,Potential Loyalists
CUST-1318,Mary Wheeler,Bronze,Iloilo,Both,hwaters@example.com,520,8,35668.66,1,1,1,111,1.0,Lost
CUST-1330,Rachel Miller,Bronze,Laguna,Online,denise83@example.net,978,5,35601.34,5,1,1,511,2.33,Potential Loyalists
CUST-1155,Derrick Gilmore,Silver,Batangas,Both,vnguyen@example.net,547,15,35529.28,1,1,1,111,1.0,Lost
CUST-1128,Elizabeth Ramirez,Gold,Batangas,Both,amycohen@example.org,524,11,35261.16,1,1,1,111,1.0,Lost
CUST-1272,Angela Morrison,Bronze,Cagayan de Oro,In-Store,smithnicole@example.com,525,6,35241.79,1,1,1,111,1.0,Lost
CUST-1395,John Silva,Bronze,Pampanga,In-Store,maynatalie@example.org,681,3,34044.41,3,2,1,321,2.0,Potential Loyalists
CUST-1065,Samantha Davis,Silver,Cagayan de Oro,In-Store,kathleenmorgan@example.com,526,4,33825.45,1,1,1,111,1.0,Lost
CUST-1020,Debbie Coffey,Bronze,Iloilo,In-Store,stacey78@example.com,714,3,33393.99,3,2,1,321,2.0,Potential Loyalists
CUST-1101,John Alexander,Silver,Laguna,In-Store,owenssusan@example.com,581,9,33097.05,2,1,1,211,1.33,Needs Attention
CUST-1173,Miranda Herrera,Silver,Cebu,Online,cervantesthomas@example.org,934,4,31701.87,5,1,1,511,2.33,Potential Loyalists
CUST-1262,Jason Green,Bronze,Cebu,In-Store,hollowayhoward@example.net,523,6,31436.9,1,1,1,111,1.0,Lost
CUST-1391,Michael Smith,Bronze,NCR,Both,patrick19@example.org,552,11,30640.49,1,1,1,111,1.0,Lost
CUST-1167,Jasmin Castro,Silver,Cagayan de Oro,In-Store,juliaellis@example.com,525,10,30456.77,1,1,1,111,1.0,Lost
CUST-1082,Luis Keith,Gold,Laguna,Online,ashley42@example.net,605,4,30174.7,2,1,1,211,1.33,Needs Attention
CUST-1360,Brian Keller,Platinum,Batangas,Both,vgray@example.net,720,2,29842.46,3,3,1,331,2.33,Needs Attention
CUST-1189,Stephen Pitts,Platinum,Pampanga,Online,matthew78@example.com,642,6,29508.12,2,1,1,211,1.33,Needs Attention
CUST-1290,Connie Bush,Bronze,Cebu,In-Store,christine56@example.net,606,4,29438.91,2,1,1,211,1.33,Needs Attention
CUST-1084,Elizabeth Foster,Platinum,Cagayan de Oro,In-Store,xmoyer@example.com,561,7,28525.01,1,1,1,111,1.0,Lost
CUST-1239,Victoria Clark,Bronze,Unknown,Online,kevinrodriguez@example.net,776,3,27966.63,3,2,1,321,2.0,Potential Loyalists
CUST-1163,Glenn Jordan,Gold,Cebu,In-Store,webbmorgan@example.net,519,9,27928.28,1,1,1,111,1.0,Lost
CUST-1171,Brian Butler,Bronze,Davao,Both,ochambers@example.org,562,2,27707.81,1,4,1,141,2.0,Cant Lose Them
CUST-1385,Robert Trujillo,Gold,Iloilo,Online,zflynn@example.net,520,3,26953.53,1,2,1,121,1.33,Needs Attention
CUST-1107,Brian Murray,Platinum,Batangas,Online,juan92@example.net,543,9,26876.01,1,1,1,111,1.0,Lost
CUST-1371,Kenneth Clark DDS,Bronze,Pampanga,In-Store,mitchellderrick@example.org,879,3,26627.54,4,2,1,421,2.33,Potential Loyalists
CUST-1209,Glenda Leonard,Gold,NCR,In-Store,twilliams@example.com,983,6,26513.74,5,1,1,511,2.33,Potential Loyalists
CUST-1205,Thomas Murphy,Silver,Davao,In-Store,vwong@example.com,998,10,26249.69,5,1,1,511,2.33,Potential Loyalists
CUST-1317,Jennifer Barnes,Bronze,Batangas,Both,chernandez@example.com,982,4,24873.23,5,2,1,521,2.67,Potential Loyalists
CUST-1269,Jacqueline Leach,Silver,Batangas,Online,herreramichelle@example.com,685,5,24657.31,3,1,1,311,1.67,Potential Loyalists
CUST-1199,Catherine Brown,Silver,NCR,Online,margaret66@example.net,539,4,24396.1,1,2,1,121,1.33,Needs Attention
CUST-1080,Brandon Howard,Silver,Cagayan de Oro,In-Store,nancy70@example.net,590,11,23972.57,2,1,1,211,1.33,Needs Attention
CUST-1263,Brian Howell,Platinum,Davao,Both,johnmorales@example.net,704,5,23495.46,3,1,1,311,1.67,Potential Loyalists
CUST-1231,Cynthia Stevenson,Silver,NCR,Both,spencer79@example.net,841,7,23133.25,4,1,1,411,2.0,Potential Loyalists
CUST-1178,Dr. Tanya Stewart,Bronze,Pampanga,Online,jeffreyrussell@example.org,527,9,23013.47,1,1,1,111,1.0,Lost
CUST-1242,Eddie Solomon,Silver,Laguna,In-Store,mark11@example.com,747,10,22768.04,3,1,1,311,1.67,Potential Loyalists
CUST-1030,Beverly Knapp,Silver,Batangas,Both,flowerssamantha@example.org,571,10,22759.88,2,1,1,211,1.33,Needs Attention
CUST-1282,Wendy Mills,Gold,Iloilo,In-Store,benjamin87@example.org,677,7,22758.21,3,1,1,311,1.67,Potential Loyalists
CUST-1259,Scott Miller,Bronze,Batangas,Both,ramosspencer@example.com,560,3,22069.91,1,2,1,121,1.33,Needs Attention
CUST-1248,Jennifer Gonzales,Bronze,Davao,Both,carlabruce@example.com,1098,4,21878.0,5,2,1,521,2.67,Potential Loyalists
CUST-1121,Jessica Williams,Silver,Cagayan de Oro,Both,bgibson@example.net,550,8,21769.76,1,1,1,111,1.0,Lost
CUST-1400,Bradley Wright,Silver,Cebu,In-Store,dolson@example.net,721,4,20943.38,3,2,1,321,2.0,Potential Loyalists
CUST-1196,Kelsey Watson,Bronze,Laguna,Both,christinarichardson@example.com,583,9,20691.99,2,1,1,211,1.33,Needs Attention
CUST-1361,Michelle Collins,Bronze,Pampanga,Online,htodd@example.com,876,8,20070.39,4,1,1,411,2.0,Potential Loyalists
CUST-1230,Scott Chavez,Silver,Davao,Both,carlos92@example.com,564,7,20011.76,1,1,1,111,1.0,Lost
CUST-1364,Joseph Nelson,Bronze,Pampanga,Online,scott19@example.net,718,3,20007.26,3,2,1,321,2.0,Potential Loyalists
CUST-1334,Jon Stafford,Bronze,Pampanga,Online,patriciaflores@example.org,633,4,19956.7,2,1,1,211,1.33,Needs Attention
